fecha,tienda_id,producto_id,categoria,region,ciudad,precio_unitario,cantidad_vendida,ingreso_total,en_promocion,stock_inicio_dia,stock_fin_dia,dias_plazo_proveedor,quiebre_stock
2023-02-26,STORE_04,PROD_047,Bebidas,Sur,Montevideo,2.5,3,7.5,0,37,36,2,0
2023-01-25,STORE_01,PROD_046,Bebidas,Este,Montevideo,2.54,10,25.4,0,91,81,2,0
2023-03-04,STORE_05,PROD_045,Snacks,Este,Durazno,1.83,12,21.96,0,32,21,5,0
2023-03-30,STORE_01,PROD_004,Panadería,Sur,Salto,1.74,7,12.18,0,98,93,7,0
2023-01-05,STORE_02,PROD_018,Panadería,Oeste,Maldonado,1.75,11,19.25,1,67,53,2,0
2023-02-14,STORE_01,PROD_042,Lácteos,Este,Salto,3.6,4,14.4,0,72,70,5,0
2023-01-31,STORE_02,PROD_036,Snacks,Sur,Maldonado,1.89,8,15.12,0,49,39,2,0
2023-03-04,STORE_04,PROD_015,Panadería,Norte,Paysandú,1.43,5,7.15,0,69,66,7,0
2023-02-16,STORE_05,PROD_012,Lácteos,Este,Salto,3.45,4,13.8,0,45,39,3,0
2023-01-29,STORE_04,PROD_017,Limpieza,Norte,Montevideo,3.8,6,22.8,0,40,35,5,0
2023-03-25,STORE_03,PROD_005,Limpieza,Este,Montevideo,3.98,8,31.84,0,27,18,3,0
2023-02-19,STORE_04,PROD_007,Limpieza,Norte,Paysandú,3.64,7,25.48,1,21,13,7,0
2023-03-18,STORE_01,PROD_008,Panadería,Sur,Durazno,1.57,5,7.85,0,36,31,2,0
2023-02-15,STORE_04,PROD_020,Bebidas,Sur,Durazno,2.49,2,4.98,0,45,45,5,0
2023-03-07,STORE_02,PROD_046,Snacks,Sur,Durazno,1.64,7,11.48,0,91,82,7,0
2023-03-03,STORE_04,PROD_047,Limpieza,Este,Salto,4.67,6,28.02,0,31,26,2,0
2023-02-14,STORE_03,PROD_019,Lácteos,Norte,Maldonado,3.64,7,25.48,0,54,48,2,0
2023-02-23,STORE_01,PROD_007,Lácteos,Norte,Maldonado,3.58,4,14.32,0,68,63,7,0
2023-02-05,STORE_02,PROD_034,Lácteos,Sur,Durazno,3.64,9,32.76,0,33,26,3,0
2023-02-06,STORE_05,PROD_038,Panadería,Norte,Paysandú,1.53,5,7.65,0,54,50,2,0
2023-03-06,STORE_04,PROD_036,Panadería,Este,Salto,1.75,4,7.0,0,27,22,7,0
2023-01-01,STORE_01,PROD_020,Lácteos,Norte,Salto,3.59,7,25.13,0,56,49,3,0
2023-01-29,STORE_01,PROD_035,Panadería,Norte,Salto,1.49,3,4.47,0,69,67,2,0
2023-02-08,STORE_03,PROD_050,Lácteos,Sur,Paysandú,3.0,4,12.0,0,27,24,7,0
2023-01-05,STORE_02,PROD_001,Snacks,Este,Durazno,1.63,11,17.93,0,85,72,7,0
2023-03-11,STORE_01,PROD_033,Bebidas,Norte,Maldonado,2.84,11,31.24,0,34,20,7,0
2023-03-12,STORE_05,PROD_019,Lácteos,Norte,Montevideo,3.45,2,6.9,0,97,93,3,0
2023-02-15,STORE_01,PROD_003,Panadería,Sur,Durazno,1.57,7,10.99,0,62,56,2,0
2023-01-23,STORE_03,PROD_016,Panadería,Oeste,Montevideo,1.64,3,4.92,0,87,85,7,0
2023-01-27,STORE_05,PROD_047,Lácteos,Este,Durazno,3.47,3,10.41,0,93,91,5,0
2023-03-12,STORE_01,PROD_042,Panadería,Sur,Paysandú,1.54,8,12.32,0,61,50,3,0
2023-02-06,STORE_04,PROD_050,Limpieza,Oeste,Paysandú,4.41,7,30.87,1,56,48,7,0
2023-03-12,STORE_03,PROD_010,Bebidas,Sur,Maldonado,2.7,8,21.6,0,61,54,3,0
2023-02-05,STORE_05,PROD_033,Lácteos,Este,Montevideo,3.19,5,15.95,0,91,84,5,0
2023-02-13,STORE_05,PROD_003,Snacks,Este,Paysandú,1.98,5,9.9,0,50,42,5,0
2023-03-21,STORE_02,PROD_030,Bebidas,Este,Paysandú,2.51,7,17.57,0,49,43,7,0
2023-03-11,STORE_02,PROD_008,Bebidas,Norte,Paysandú,2.84,3,8.52,0,92,86,5,0
2023-03-08,STORE_04,PROD_023,Snacks,Oeste,Durazno,1.9,12,22.8,1,40,27,3,0
2023-01-02,STORE_03,PROD_018,Lácteos,Sur,Durazno,3.67,7,25.69,0,44,38,2,0
2023-01-08,STORE_05,PROD_034,Lácteos,Norte,Paysandú,2.96,6,17.76,0,21,15,5,0
2023-03-24,STORE_03,PROD_005,Limpieza,Sur,Durazno,3.85,5,19.25,0,47,44,3,0
2023-01-07,STORE_04,PROD_033,Lácteos,Oeste,Montevideo,3.1,9,27.9,0,24,17,5,0
2023-01-02,STORE_03,PROD_021,Panadería,Sur,Durazno,1.44,4,5.76,0,51,47,2,0
2023-03-01,STORE_03,PROD_021,Lácteos,Oeste,Maldonado,3.35,6,20.1,0,32,23,2,0
2023-03-05,STORE_01,PROD_009,Bebidas,Norte,Durazno,2.58,8,20.64,0,64,55,2,0
2023-02-01,STORE_04,PROD_001,Panadería,Oeste,Maldonado,1.37,3,4.11,0,39,37,7,0
2023-02-27,STORE_04,PROD_011,Lácteos,Este,Salto,3.51,4,14.04,0,57,53,2,0
2023-01-08,STORE_01,PROD_009,Snacks,Este,Durazno,1.63,5,8.15,0,21,18,2,0
2023-02-22,STORE_04,PROD_034,Limpieza,Sur,Montevideo,4.71,6,28.26,0,51,44,3,0
2023-01-21,STORE_03,PROD_032,Bebidas,Oeste,Montevideo,2.66,7,18.62,0,48,42,3,0
2023-01-02,STORE_05,PROD_021,Lácteos,Este,Durazno,3.08,9,27.72,0,27,16,3,0
2023-01-16,STORE_01,PROD_044,Panadería,Este,Montevideo,1.48,9,13.32,0,77,70,7,0
2023-03-22,STORE_01,PROD_034,Panadería,Norte,Paysandú,1.5,8,12.0,0,73,66,3,0
2023-02-07,STORE_04,PROD_045,Lácteos,Norte,Paysandú,3.37,3,10.11,0,43,38,3,0
2023-03-23,STORE_03,PROD_031,Lácteos,Oeste,Salto,3.36,5,16.8,0,67,63,7,0
2023-02-24,STORE_01,PROD_033,Snacks,Este,Paysandú,1.65,12,19.8,1,29,15,5,0
2023-03-18,STORE_03,PROD_049,Panadería,Sur,Montevideo,1.77,5,8.85,0,83,79,7,0
2023-03-11,STORE_02,PROD_004,Snacks,Este,Montevideo,2.04,5,10.2,0,43,38,3,0
2023-01-30,STORE_04,PROD_007,Limpieza,Este,Paysandú,4.54,5,22.7,1,76,72,7,0
2023-02-19,STORE_01,PROD_027,Snacks,Oeste,Salto,2.14,6,12.84,0,56,47,5,0
2023-03-30,STORE_05,PROD_012,Bebidas,Norte,Montevideo,2.27,5,11.35,0,47,40,5,0
2023-02-10,STORE_01,PROD_017,Snacks,Sur,Durazno,1.88,7,13.16,0,59,54,7,0
2023-02-28,STORE_02,PROD_035,Limpieza,Este,Montevideo,3.84,4,15.36,0,98,96,7,0
2023-01-14,STORE_03,PROD_041,Snacks,Oeste,Durazno,1.92,5,9.6,0,69,63,5,0
2023-03-10,STORE_03,PROD_011,Lácteos,Sur,Paysandú,3.64,8,29.12,0,22,15,5,0
2023-01-27,STORE_02,PROD_043,Bebidas,Oeste,Montevideo,2.28,8,18.24,0,20,13,5,0
2023-01-21,STORE_05,PROD_034,Lácteos,Oeste,Durazno,3.29,4,13.16,0,24,19,2,0
2023-01-09,STORE_04,PROD_038,Snacks,Sur,Salto,2.03,8,16.24,1,52,45,5,0
2023-02-21,STORE_02,PROD_041,Limpieza,Este,Durazno,4.5,7,31.5,0,85,77,7,0
2023-01-28,STORE_01,PROD_020,Lácteos,Norte,Salto,3.55,6,21.3,0,96,88,5,0
2023-01-06,STORE_03,PROD_027,Limpieza,Este,Durazno,4.14,6,24.84,0,33,25,3,0
2023-03-28,STORE_01,PROD_019,Limpieza,Este,Durazno,4.44,9,39.96,1,28,16,7,0
2023-02-21,STORE_01,PROD_014,Limpieza,Norte,Salto,3.87,5,19.35,0,74,70,3,0
2023-02-17,STORE_04,PROD_035,Limpieza,Oeste,Durazno,4.29,5,21.45,0,54,46,3,0
2023-03-29,STORE_01,PROD_008,Panadería,Este,Paysandú,1.76,3,5.28,0,40,36,3,0
2023-01-20,STORE_01,PROD_029,Limpieza,Oeste,Paysandú,3.73,7,26.11,0,44,35,2,0
2023-03-02,STORE_04,PROD_006,Snacks,Este,Salto,1.77,6,10.62,1,65,56,3,0
2023-01-08,STORE_03,PROD_020,Lácteos,Norte,Durazno,3.32,4,13.28,0,36,33,5,0
2023-02-28,STORE_01,PROD_039,Panadería,Oeste,Salto,1.37,6,8.22,0,80,71,2,0
2023-03-31,STORE_04,PROD_005,Bebidas,Este,Maldonado,2.87,6,17.22,0,59,53,2,0
2023-03-17,STORE_02,PROD_015,Bebidas,Este,Durazno,2.75,2,5.5,0,70,70,2,0
2023-02-08,STORE_04,PROD_003,Lácteos,Sur,Salto,3.59,7,25.13,0,81,71,5,0
2023-01-25,STORE_01,PROD_038,Lácteos,Norte,Salto,3.29,8,26.32,0,94,84,5,0
2023-02-26,STORE_04,PROD_033,Snacks,Oeste,Paysandú,1.85,6,11.1,0,30,21,2,0
2023-02-07,STORE_05,PROD_008,Snacks,Oeste,Paysandú,1.93,3,5.79,0,78,74,5,0
2023-02-14,STORE_04,PROD_026,Limpieza,Sur,Salto,4.07,3,12.21,0,56,51,7,0
2023-02-04,STORE_04,PROD_018,Lácteos,Norte,Montevideo,2.96,6,17.76,0,72,65,5,0
2023-02-20,STORE_03,PROD_042,Snacks,Oeste,Maldonado,1.73,6,10.38,0,32,24,5,0
2023-02-20,STORE_05,PROD_017,Limpieza,Oeste,Durazno,4.35,3,13.05,0,36,34,7,0
2023-01-19,STORE_03,PROD_034,Limpieza,Sur,Maldonado,4.15,5,20.75,0,89,81,5,0
2023-01-19,STORE_02,PROD_048,Lácteos,Oeste,Paysandú,3.71,4,14.84,0,94,87,5,0
2023-03-22,STORE_03,PROD_014,Limpieza,Sur,Paysandú,4.59,5,22.95,0,91,85,5,0
2023-02-07,STORE_03,PROD_005,Panadería,Este,Maldonado,1.77,5,8.85,0,99,94,3,0
2023-02-10,STORE_03,PROD_030,Bebidas,Sur,Salto,3.0,2,6.0,0,84,82,2,0
2023-02-06,STORE_01,PROD_015,Panadería,Norte,Maldonado,1.72,6,10.32,1,94,87,7,0
2023-01-03,STORE_04,PROD_013,Panadería,Oeste,Durazno,1.35,5,6.75,0,85,78,3,0
2023-01-13,STORE_04,PROD_034,Limpieza,Oeste,Salto,3.63,3,10.89,0,38,36,5,0
2023-02-26,STORE_01,PROD_022,Bebidas,Este,Durazno,2.69,7,18.83,0,27,18,7,0
2023-01-31,STORE_02,PROD_018,Snacks,Este,Salto,1.77,4,7.08,0,69,62,3,0
2023-03-10,STORE_04,PROD_029,Lácteos,Este,Montevideo,3.23,8,25.84,0,77,67,2,0
2023-02-02,STORE_04,PROD_027,Bebidas,Oeste,Durazno,2.35,3,7.05,0,87,81,3,0
2023-03-14,STORE_05,PROD_020,Limpieza,Este,Paysandú,4.8,5,24.0,0,90,82,2,0
2023-03-23,STORE_05,PROD_013,Lácteos,Este,Durazno,3.08,6,18.48,0,26,20,3,0
2023-01-03,STORE_04,PROD_006,Lácteos,Oeste,Maldonado,3.53,2,7.06,0,32,27,2,0
2023-02-23,STORE_02,PROD_044,Panadería,Sur,Maldonado,1.52,1,1.52,0,29,27,2,0
2023-01-03,STORE_01,PROD_012,Lácteos,Oeste,Maldonado,3.33,7,23.31,1,78,73,2,0
2023-02-03,STORE_05,PROD_006,Panadería,Norte,Montevideo,1.68,10,16.8,0,64,56,5,0
2023-01-04,STORE_03,PROD_029,Bebidas,Norte,Durazno,2.7,4,10.8,0,75,71,3,0
2023-03-16,STORE_04,PROD_022,Bebidas,Norte,Salto,2.79,7,19.53,0,94,86,2,0
2023-02-18,STORE_04,PROD_038,Lácteos,Norte,Montevideo,3.54,4,14.16,0,34,31,3,0
2023-01-21,STORE_05,PROD_006,Snacks,Sur,Durazno,1.72,9,15.48,0,87,77,7,0
2023-02-17,STORE_03,PROD_026,Bebidas,Oeste,Salto,2.59,2,5.18,1,48,45,2,0
2023-01-17,STORE_03,PROD_043,Panadería,Oeste,Durazno,1.79,9,16.11,0,56,45,7,0
2023-01-28,STORE_02,PROD_043,Panadería,Oeste,Durazno,1.49,6,8.94,1,46,38,5,0
2023-01-01,STORE_01,PROD_029,Bebidas,Este,Paysandú,2.32,6,13.92,0,84,76,2,0
2023-02-27,STORE_02,PROD_045,Lácteos,Oeste,Durazno,3.69,4,14.76,0,87,84,7,0
2023-01-11,STORE_03,PROD_021,Limpieza,Oeste,Durazno,4.61,9,41.49,0,38,31,7,0
2023-03-09,STORE_02,PROD_015,Limpieza,Norte,Montevideo,4.09,9,36.81,1,72,65,2,0
2023-02-26,STORE_05,PROD_006,Panadería,Norte,Durazno,1.44,2,2.88,0,87,85,7,0
2023-02-07,STORE_03,PROD_036,Bebidas,Norte,Maldonado,2.57,9,23.13,0,40,28,7,0
2023-02-28,STORE_02,PROD_010,Limpieza,Sur,Montevideo,3.92,6,23.52,0,82,73,5,0
2023-02-05,STORE_01,PROD_041,Snacks,Oeste,Salto,2.05,3,6.15,0,92,90,3,0
2023-01-06,STORE_04,PROD_003,Bebidas,Este,Montevideo,2.8,6,16.8,0,62,56,5,0
2023-03-19,STORE_02,PROD_033,Snacks,Norte,Paysandú,1.92,10,19.2,0,39,29,7,0
2023-01-23,STORE_02,PROD_022,Limpieza,Norte,Maldonado,3.69,6,22.14,0,31,27,2,0
2023-03-16,STORE_05,PROD_027,Lácteos,Norte,Montevideo,3.29,5,16.45,1,66,61,2,0
2023-01-13,STORE_04,PROD_007,Limpieza,Oeste,Maldonado,3.72,4,14.88,0,36,30,3,0
2023-02-27,STORE_05,PROD_028,Bebidas,Norte,Durazno,2.78,4,11.12,0,99,93,7,0
2023-01-24,STORE_02,PROD_038,Snacks,Este,Salto,1.66,5,8.3,1,86,83,5,0
2023-01-27,STORE_02,PROD_009,Bebidas,Oeste,Montevideo,2.64,0,0.0,0,87,84,5,0
2023-01-26,STORE_01,PROD_010,Panadería,Este,Salto,1.68,9,15.12,1,65,54,7,0
2023-02-01,STORE_01,PROD_010,Snacks,Este,Durazno,1.67,5,8.35,0,36,30,2,0
2023-02-10,STORE_02,PROD_050,Lácteos,Norte,Montevideo,3.67,3,11.01,0,62,57,7,0
2023-03-16,STORE_05,PROD_050,Limpieza,Sur,Durazno,4.32,5,21.6,0,65,59,3,0
2023-03-06,STORE_03,PROD_046,Limpieza,Sur,Durazno,4.11,5,20.55,0,78,74,3,0
2023-03-02,STORE_02,PROD_043,Limpieza,Oeste,Durazno,4.2,6,25.2,0,26,21,5,0
2023-02-23,STORE_04,PROD_028,Bebidas,Este,Salto,2.56,2,5.12,0,24,19,3,0
2023-01-21,STORE_02,PROD_007,Limpieza,Norte,Paysandú,4.14,8,33.12,1,24,16,3,0
2023-02-18,STORE_02,PROD_039,Bebidas,Norte,Maldonado,2.93,10,29.3,0,51,43,7,0
2023-01-23,STORE_05,PROD_017,Panadería,Sur,Maldonado,1.68,2,3.36,0,51,47,5,0
2023-03-19,STORE_02,PROD_010,Lácteos,Este,Paysandú,2.99,7,20.93,0,52,47,2,0
2023-01-19,STORE_03,PROD_010,Snacks,Norte,Maldonado,1.89,5,9.45,0,48,41,2,0
2023-03-12,STORE_05,PROD_005,Snacks,Norte,Salto,1.73,2,3.46,0,22,21,2,0
2023-02-01,STORE_02,PROD_016,Bebidas,Sur,Paysandú,2.77,4,11.08,0,90,88,2,0
2023-03-24,STORE_03,PROD_002,Bebidas,Norte,Salto,2.26,2,4.52,0,85,85,3,0
2023-03-17,STORE_01,PROD_040,Lácteos,Este,Paysandú,3.4,6,20.4,1,97,90,5,0
2023-03-03,STORE_04,PROD_011,Snacks,Este,Salto,2.12,5,10.6,0,67,59,7,0
2023-01-08,STORE_01,PROD_037,Panadería,Sur,Durazno,1.69,6,10.14,0,22,17,7,0
2023-03-31,STORE_04,PROD_042,Panadería,Norte,Durazno,1.49,9,13.41,0,21,10,7,0
2023-03-31,STORE_02,PROD_032,Bebidas,Oeste,Montevideo,2.45,11,26.95,1,95,81,7,0
2023-01-08,STORE_01,PROD_037,Panadería,Norte,Salto,1.72,7,12.04,0,27,19,2,0
2023-02-23,STORE_05,PROD_038,Limpieza,Oeste,Paysandú,3.99,4,15.96,0,32,25,5,0
2023-03-16,STORE_03,PROD_021,Limpieza,Sur,Salto,3.62,1,3.62,0,50,51,7,0
2023-02-18,STORE_04,PROD_032,Limpieza,Sur,Salto,4.73,5,23.65,0,44,39,7,0
2023-03-24,STORE_03,PROD_046,Snacks,Este,Paysandú,1.9,7,13.3,0,37,29,5,0
2023-02-23,STORE_02,PROD_023,Limpieza,Norte,Paysandú,4.2,6,25.2,0,95,91,3,0
2023-02-16,STORE_01,PROD_029,Snacks,Oeste,Durazno,2.04,8,16.32,0,85,77,3,0
2023-01-26,STORE_03,PROD_008,Lácteos,Oeste,Salto,2.93,6,17.58,0,64,57,5,0
2023-02-25,STORE_03,PROD_023,Bebidas,Este,Salto,2.27,9,20.43,1,30,19,3,0
2023-03-12,STORE_04,PROD_034,Limpieza,Oeste,Durazno,3.92,8,31.36,0,75,67,3,0
2023-02-08,STORE_04,PROD_049,Lácteos,Norte,Maldonado,2.94,4,11.76,0,41,35,5,0
2023-01-11,STORE_04,PROD_046,Panadería,Oeste,Durazno,1.58,4,6.32,0,76,70,2,0
2023-02-25,STORE_02,PROD_009,Panadería,Norte,Durazno,1.65,12,19.8,0,67,53,7,0
2023-02-24,STORE_04,PROD_025,Panadería,Norte,Montevideo,1.72,8,13.76,0,72,66,5,0
2023-01-28,STORE_03,PROD_045,Snacks,Oeste,Maldonado,1.93,9,17.37,0,50,43,2,0
2023-03-25,STORE_04,PROD_013,Panadería,Este,Durazno,1.71,6,10.26,0,65,58,3,0
2023-02-28,STORE_05,PROD_039,Panadería,Norte,Paysandú,1.69,7,11.83,0,40,30,7,0
2023-03-24,STORE_04,PROD_015,Bebidas,Oeste,Durazno,2.83,8,22.64,0,31,20,2,0
2023-03-19,STORE_01,PROD_008,Limpieza,Sur,Paysandú,4.06,8,32.48,1,83,74,3,0
2023-03-13,STORE_01,PROD_049,Limpieza,Este,Salto,3.95,3,11.85,0,25,21,7,0
2023-01-28,STORE_02,PROD_038,Panadería,Este,Paysandú,1.68,6,10.08,0,75,68,7,0
2023-01-01,STORE_02,PROD_018,Bebidas,Este,Paysandú,2.39,3,7.17,0,33,31,2,0
2023-02-03,STORE_03,PROD_024,Snacks,Norte,Durazno,1.97,2,3.94,0,46,41,5,0
2023-02-04,STORE_04,PROD_041,Panadería,Oeste,Durazno,1.67,11,18.37,1,34,21,3,0
2023-02-21,STORE_01,PROD_021,Bebidas,Sur,Maldonado,2.52,1,2.52,0,37,37,7,0
2023-03-27,STORE_03,PROD_040,Snacks,Sur,Montevideo,2.13,3,6.39,0,56,52,2,0
2023-03-10,STORE_01,PROD_048,Snacks,Norte,Paysandú,1.95,7,13.65,1,77,71,7,0
2023-02-03,STORE_04,PROD_025,Lácteos,Norte,Maldonado,3.47,8,27.76,0,32,21,3,0
2023-03-22,STORE_05,PROD_006,Limpieza,Sur,Maldonado,4.29,3,12.87,0,88,87,3,0
2023-02-18,STORE_01,PROD_034,Snacks,Este,Maldonado,1.79,8,14.32,0,54,43,5,0
2023-01-19,STORE_04,PROD_036,Limpieza,Oeste,Durazno,4.6,7,32.2,1,87,79,7,0
2023-01-16,STORE_04,PROD_045,Snacks,Oeste,Maldonado,2.0,5,10.0,0,76,70,3,0
2023-03-15,STORE_02,PROD_050,Panadería,Norte,Maldonado,1.53,2,3.06,0,75,71,2,0
2023-01-04,STORE_05,PROD_023,Snacks,Sur,Durazno,1.9,3,5.7,0,30,26,2,0
2023-01-04,STORE_04,PROD_017,Bebidas,Este,Maldonado,2.89,8,23.12,1,92,82,5,0
2023-02-16,STORE_05,PROD_047,Lácteos,Oeste,Montevideo,3.03,5,15.15,0,60,52,3,0
2023-02-17,STORE_02,PROD_010,Limpieza,Este,Salto,4.6,3,13.8,1,73,69,5,0
2023-01-16,STORE_01,PROD_018,Limpieza,Norte,Salto,4.3,3,12.9,0,96,93,5,0
2023-01-02,STORE_02,PROD_027,Limpieza,Este,Paysandú,4.11,8,32.88,1,35,29,3,0
2023-03-12,STORE_05,PROD_037,Panadería,Este,Paysandú,1.66,6,9.96,0,35,27,2,0
